Time,PACKAGED ROOFTOP AIR CONDITIONER:DesPer 1:Des Heat Mass Flow [kg/s],PACKAGED ROOFTOP AIR CONDITIONER:DesPer 1:Des Heat Cap [W],PACKAGED ROOFTOP AIR CONDITIONER:DesPer 1:Des Cool Mass Flow [kg/s],PACKAGED ROOFTOP AIR CONDITIONER:DesPer 1:Des Sens Cool Cap [W],PACKAGED ROOFTOP AIR CONDITIONER:DesPer 1:Des Tot Cool Cap [W],PACKAGED ROOFTOP AIR CONDITIONER:DesPer 2:Des Heat Mass Flow [kg/s],PACKAGED ROOFTOP AIR CONDITIONER:DesPer 2:Des Heat Cap [W],PACKAGED ROOFTOP AIR CONDITIONER:DesPer 2:Des Cool Mass Flow [kg/s],PACKAGED ROOFTOP AIR CONDITIONER:DesPer 2:Des Sens Cool Cap [W],PACKAGED ROOFTOP AIR CONDITIONER:DesPer 2:Des Tot Cool Cap [W]
17:20:00,4.330748E-02,4.744611E+02,1.757362E-01,2.199486E+03,3.192132E+03,2.797890E-01,7.305507E+03,4.330748E-02,0.000000E+00,0.000000E+00
17:30:00,4.330748E-02,4.820042E+02,1.792432E-01,2.231412E+03,3.245724E+03,2.772810E-01,7.257589E+03,4.330748E-02,0.000000E+00,0.000000E+00
17:40:00,4.330748E-02,4.895473E+02,2.083396E-01,2.551288E+03,3.682783E+03,2.601904E-01,6.931201E+03,4.330748E-02,0.000000E+00,0.000000E+00
17:50:00,4.330748E-02,4.970904E+02,2.124135E-01,2.589570E+03,3.726456E+03,2.575140E-01,6.880042E+03,4.330748E-02,0.000000E+00,0.000000E+00
18:00:00,4.330748E-02,5.046335E+02,2.167048E-01,2.630306E+03,3.809281E+03,2.548090E-01,6.828362E+03,4.330748E-02,0.000000E+00,0.000000E+00
18:10:00,4.330748E-02,5.159482E+02,2.223393E-01,2.682382E+03,3.927736E+03,2.513468E-01,6.762228E+03,4.330748E-02,0.000000E+00,0.000000E+00
18:20:00,4.330748E-02,5.272628E+02,2.278558E-01,2.733136E+03,4.036319E+03,2.479290E-01,6.696944E+03,4.330748E-02,0.000000E+00,0.000000E+00
18:30:00,4.330748E-02,5.385775E+02,2.332090E-01,2.782056E+03,4.141545E+03,2.445304E-01,6.632026E+03,4.330748E-02,0.000000E+00,0.000000E+00
18:40:00,4.330748E-02,5.498921E+02,2.107863E-01,2.518442E+03,3.789853E+03,2.571534E-01,6.873027E+03,4.330748E-02,0.000000E+00,0.000000E+00
18:50:00,4.330748E-02,5.612068E+02,2.132127E-01,2.534446E+03,3.837825E+03,2.553456E-01,6.838509E+03,4.330748E-02,0.000000E+00,0.000000E+00
19:00:00,4.330748E-02,5.725214E+02,2.150760E-01,2.544098E+03,3.873215E+03,2.535401E-01,6.804008E+03,4.330748E-02,0.000000E+00,0.000000E+00
19:10:00,4.330748E-02,5.808189E+02,2.139367E-01,2.522983E+03,3.859334E+03,2.531683E-01,6.796884E+03,4.330748E-02,0.000000E+00,0.000000E+00
19:20:00,4.330748E-02,5.891163E+02,2.119233E-01,2.492029E+03,3.830343E+03,2.528409E-01,6.790609E+03,4.330748E-02,0.000000E+00,0.000000E+00
19:30:00,4.330748E-02,5.974137E+02,2.089686E-01,2.450478E+03,3.786629E+03,2.525467E-01,6.784974E+03,4.330748E-02,0.000000E+00,0.000000E+00
19:40:00,4.330748E-02,6.057111E+02,2.050246E-01,2.397798E+03,3.727996E+03,2.522817E-01,6.779902E+03,4.330748E-02,0.000000E+00,0.000000E+00
19:50:00,4.330748E-02,6.140085E+02,2.004773E-01,2.338329E+03,3.660510E+03,2.520412E-01,6.775299E+03,4.330748E-02,0.000000E+00,0.000000E+00
